Title,IMDb rating,Year,MPA rating,Genre,Director,Star Cast,MetaScore,Duration (minutes)
The Scarf,5.6,2009,R,Adventure,Kyle Lawrence,Penny DesantoLaura GeluchJulian LeBlanc,66.0,116.3
Starvation,7.6,2015,R,Drama,Brian K. Millard,Karol ScottBrittany ColemanBrian K. Millard,66.0,116.3
Goretech: Bienvenidos al planeta hijo de puta,7.8,2012,R,Action,Germán Magariños,Vic CicutaLeandro De la TorreRamon Cordero,66.0,116.3
Trollhunters: Rise of the Titans,6.6,2021,Other,Animation,Johane Matte,Steve Alterman,57.1,104.0
The Follow,5.8,2004,R,Sci-Fi,Glenn Triggs,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
Hereditary,7.3,2018,R,Drama,Ari Aster,Toni ColletteMilly ShapiroGabriel Byrne,87.0,127.0
The Message,8.1,1976,PG,Biography,Moustapha Akkad,H.A.L. CraigTewfik El-HakimA.B. Jawdat El-Sahhar,66.0,177.0
Age of Consent,6.3,1969,R,Biography,Michael Powell,James MasonHelen MirrenJack MacGowran,66.0,98.0
Crusade in Jeans,6.1,2006,PG,Adventure,Ben Sombogaart,Bill HaneyJean-Claude Van RijckeghemChris Craps,66.0,125.0
The Message,8.9,1976,PG,Action,Moustapha Akkad,H.A.L. CraigTewfik El-HakimA.B. Rahman El-Sharkawi,66.0,207.0
Rodson - ou (Onde o Sol Não Tem Dó),7.3,2020,R,Sci-Fi,Clara Chroma,Clara ChromaUrutau Maria PintoOrlok Sombra,66.0,116.3
The Dig,7.1,2021,PG-13,Biography,Simon Stone,Carey MulliganRalph FiennesLily James,73.0,112.0
Arabian Nights,6.7,1974,NC-17,Comedy,Pier Paolo Pasolini,Ninetto DavoliFranco CittiFranco Merli,66.0,130.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9,2005,PG,Adventure,Andrew Adamson,Ann PeacockAndrew AdamsonChristopher Markus,75.0,143.0
Godzilla Minus One,7.9,2023,PG-13,Action,Takashi Yamazaki,Ryunosuke KamikiMinami HamabeSakura Andô,81.0,124.0
Die ersten Tage,5.3,1971,R,Adventure,Herbert Holba,Ariane NiehoffOlga FelberHeinz Herki,66.0,116.3
Nyad,7.1,2023,PG-13,Biography,Jimmy Chin,Annette BeningJodie FosterAnne Marie Kempf,63.0,121.0
Maquia: When the Promised Flower Blooms,7.4,2018,Not Rated,Animation,Masakazu Hashimoto,Manaka Iwami,72.0,115.0
Sasquatch Sunset,5.6,2024,R,Action,David Zellner,Jesse EisenbergRiley KeoughChristophe Zajac-Denek,65.0,88.0
The Jungle Book,7.6,1967,Other,Animation,Wolfgang Reitherman,Phil Harris,65.0,78.0
Saberfrog,6.5,2009,R,Comedy,Curt Markham,J.D. EdmondReuben TappJohn Karyus,66.0,116.3
Chronicles of Humanity: Renegades,7.0,2014,R,Animation,Damien Valentine,Kim GenlyDamien ValentineElizabeth Cameron,66.0,116.3
Once Upon a Time in China III,6.7,1992,R,Action,Hark Tsui,Jet LiRosamund KwanSiu Chung Mok,66.0,125.0
Stone of Destiny,6.7,2008,PG,Adventure,Charles Martin Smith,Charlie CoxKate MaraStephen McCole,66.0,96.0
Without Limits,7.2,1998,PG-13,Biography,Robert Towne,Billy CrudupDonald SutherlandMonica Potter,71.0,117.0
Permanent Midnight,6.2,1998,R,Biography,David Veloz,Ben StillerMaria BelloJay Paulson,57.0,88.0
The Lady and the Duke,6.8,2001,PG-13,Drama,Éric Rohmer,Lucy RussellJean-Claude DreyfusAlain Libolt,74.0,129.0
Alan Smithee's Frankenstein,7.0,2012,R,Horror,Germán Magariños,Vic CicutaRamon CorderoLeandro De la Torre,66.0,116.3
World War Z,7.0,2013,PG-13,Action,Marc Forster,Matthew Michael CarnahanDrew GoddardDamon Lindelof,63.0,116.0
Legend of the Guardians: The Owls of Ga'Hoole,6.9,2010,PG,Animation,Zack Snyder,Jim Sturgess,53.0,97.0
Run,7.7,2002,R,Sci-Fi,Timothy English,Meghan DickinsonJames KelloggTimothy English,66.0,116.3
My Week with Marilyn,6.9,2011,R,Biography,Simon Curtis,Michelle WilliamsEddie RedmayneKenneth Branagh,65.0,99.0
Resistance,6.5,2020,R,Biography,Jonathan Jakubowicz,Jesse EisenbergClémence PoésyMatthias Schweighöfer,53.0,120.0
The Garden of the Finzi-Continis,7.3,1970,R,Drama,Vittorio De Sica,Giorgio BassaniUgo PirroVittorio Bonicelli,66.0,94.0
Ymadawiad Arthur,6.5,1996,R,Comedy,Marc Evans,Ioan EvansMorgan HopkinsLlyr Ifans,66.0,116.3
Off,5.7,2002,R,Musical,Antonio Dyaz,Pepa SlasJulián HernándezMomoyo Miya,66.0,116.3
Jumanji,7.1,1995,PG,Adventure,Joe Johnston,Robin Williams,39.0,104.0
Serebristaya pyl,5.6,1953,R,Drama,Abram Room,Mikhail BoldumanSofiya PilyavskayaValentina Ushakova,66.0,116.3
Spirited,6.6,2022,PG-13,Comedy,Sean Anders,Will Ferrell,55.0,127.0
Wildfire: The Legend of the Cherokee Ghost Horse,7.7,2023,PG,Family,Eric Parkinson,Anne Heche,57.1,100.0
One Flew Over the Cuckoo's Nest,8.7,1975,R,Drama,Milos Forman,Lawrence HaubenBo GoldmanKen Kesey,84.0,133.0
Song of the Sea,8.0,2014,PG,Animation,Tomm Moore,David Rawle,85.0,93.0
Bodies Bodies Bodies,6.2,2022,R,Comedy,Halina Reijn,Amandla StenbergMaria BakalovaMyha'la,69.0,94.0
Maudie,7.6,2016,PG-13,Biography,Aisling Walsh,Sally HawkinsEthan HawkeZachary Bennett,65.0,115.0
Mission: Impossible - Dead Reckoning Part One,7.7,2023,PG-13,Action,Christopher McQuarrie,Tom CruiseHayley AtwellVing Rhames,81.0,163.0
Jumanji: Welcome to the Jungle,7.0,2017,PG-13,Action,Jake Kasdan,Chris McKennaErik SommersScott Rosenberg,58.0,119.0
Gladiator,8.5,2000,R,Action,Ridley Scott,David FranzoniJohn LoganWilliam Nicholson,67.0,155.0
Antz,6.5,1998,PG,Animation,Eric Darnell,Woody Allen,73.0,83.0
"Matt Mercury, Plot of the Galactic Mastermind",6.1,2012,Not Rated,Sci-Fi,Bill Hughes,Eric BoundsCurt ClendeninRick Corrigan,66.0,90.0
Charlotte's Web,6.9,1973,G,Animation,Charles Nichols,Debbie Reynolds,73.0,94.0
Wendell & Wild,6.4,2022,PG-13,Animation,Henry Selick,Henry SelickJordan PeeleClay McLeod Chapman,69.0,105.0
"Dream, Above and Beyond",7.9,2020,Not Rated,Adventure,Grey Rich,Alec NavaGrey Rich,66.0,104.0
Harriet,6.7,2019,PG-13,Action,Kasi Lemmons,Gregory Allen HowardKasi Lemmons,66.0,125.0
Annette,7.9,2018,R,Comedy,Richard Dursley,Janey HayesAlex NunnsDaz Thomas,66.0,116.3
Origin,7.2,2023,PG-13,Drama,Ava DuVernay,Aunjanue Ellis-TaylorJon BernthalNiecy Nash,75.0,141.0
Tad: The Lost Explorer,5.9,2012,Other,Animation,Enrique Gato,Óscar Barberán,57.1,92.0
Andrei Rublev,8.0,1966,R,Biography,Andrei Tarkovsky,Anatoliy SolonitsynIvan LapikovNikolay Grinko,66.0,189.0
Very Little Time,6.7,2009,Not Rated,Fantasy,Tim Wynn,Daniel RadcliffeEmma WatsonRupert Grint,66.0,80.0
I'm Not There,6.8,2007,R,Biography,Todd Haynes,Todd HaynesOren Moverman,73.0,135.0
Burning Blue,6.2,2013,R,Biography,D.M.W. Greer,Trent FordTammy BlanchardMorgan Spector,29.0,96.0
History of the World: Part I,6.8,1981,R,Comedy,Mel Brooks,Mel BrooksGregory HinesDom DeLuise,47.0,92.0
The Muppets Take Manhattan,6.8,1984,G,Adventure,Frank Oz,Jim Henson,64.0,94.0
Thirteen Days,7.3,2000,PG-13,Drama,Roger Donaldson,Kevin CostnerBruce GreenwoodShawn Driscoll,67.0,145.0
Exhuma,7.0,2024,R,Horror,Jang Jae-hyun,Jang Jae-hyun,66.0,116.3
Escape Room,6.4,2019,PG-13,Action,Adam Robitel,Bragi F. SchutMaria Melnik,48.0,99.0
The Ten Commandments,7.9,1956,G,Adventure,Cecil B. DeMille,Charlton Heston,57.1,220.0
Shadow Magic,7.1,2000,PG,Drama,Ann Hu,Chang-Lun ChenAnn HuDan Huang,66.0,116.0
Peter Rabbit 2: The Runaway,6.2,2021,PG,Animation,Will Gluck,Rose Byrne,43.0,93.0
Timeshifters 2: Alternate Present,7.2,2012,R,Sci-Fi,Esses Tamás,Szabó AntalBolla AttilaHarczi Bence,66.0,116.3
Journey 2: The Mysterious Island,5.7,2012,PG,Action,Brad Peyton,Josh Hutcherson,41.0,94.0
My Girl 2,5.3,1994,PG,Comedy,Howard Zieff,Dan Aykroyd,57.1,99.0
The Adventures of Tintin,7.3,2011,PG,Animation,Steven Spielberg,HergéSteven MoffatEdgar Wright,68.0,107.0
IF,6.7,2024,PG,Animation,John Krasinski,Cailey FlemingRyan ReynoldsJohn Krasinski,46.0,104.0
Alien Protocol,5.2,2013,Not Rated,Drama,John Villec,Cristen Sarah NavolioScott MenschingJudson Brown,66.0,89.0
Matilda,7.0,1996,PG,Comedy,Danny DeVito,Danny DeVitoRhea PerlmanMara Wilson,72.0,102.0
The Greatest Showman,7.5,2017,PG,Biography,Michael Gracey,Jenny BicksBill Condon,48.0,105.0
Hocus Pocus 2,6.0,2022,PG,Comedy,Anne Fletcher,Bette Midler,56.0,103.0
The Express,7.2,2008,PG,Biography,Gary Fleder,Rob BrownDennis QuaidClancy Brown,58.0,130.0
Captain Callum Explores the Universe,8.8,2021,R,Action,Callum Davies,Callum DaviesKallum GordonJay Davies,66.0,116.3
Filmatron,7.5,2007,R,Sci-Fi,Pablo Parés,Diego AzulayLaura CasabeWalter Cornás,66.0,116.3
The Eyes of Tammy Faye,6.6,2021,PG-13,Biography,Michael Showalter,Jessica ChastainAndrew GarfieldCherry Jones,55.0,126.0
Newsies,6.9,1992,PG,Drama,Kenny Ortega,Christian Bale,46.0,121.0
Bellri Advances,7.0,2020,R,Animation,Yoshiyuki Tomino,Yoshiyuki Tomino,66.0,116.3
Defying the Nazis: The Sharps' War,7.1,2016,PG,Documentary,Ken Burns,Daniel RadcliffeEmma WatsonRupert Grint,66.0,90.0
The Wizard of Oz,8.1,1939,G,Adventure,Victor Fleming,Noel LangleyFlorence RyersonEdgar Allan Woolf,92.0,102.0
Kyaputen Tokio,5.7,2007,R,Sci-Fi,Kazushi Watanabe,Eiji WentzAkiyoshi NakaoAyako Fujitani,66.0,116.3
Discover Arts: Hitler vs Picasso,6.9,2018,G,Documentary,Claudio Poli,Toni ServilloTimothy Garton AshJean-Marc Dreyfus,66.0,94.0
Life,6.0,2015,R,Biography,Anton Corbijn,Robert PattinsonDane DeHaanPeter Lucas,59.0,111.0
Late Night with the Devil,7.1,2023,R,Horror,Cameron Cairnes,David DastmalchianLaura GordonIan Bliss,72.0,93.0
The Madness of King George,7.2,1994,PG-13,Biography,Nicholas Hytner,Alan Bennett,89.0,110.0
Mr. Magorium's Wonder Emporium,6.2,2007,G,Comedy,Zach Helm,Natalie Portman,48.0,93.0
Johnny Be Gone,6.1,2011,R,Drama,Trevor Juenger,Devlin WilderJoe HammerstoneKatie Deerest,66.0,116.3
Gangu shuriya,6.9,2002,R,Fantasy,Hakubun,HakubunYasumi KobayashiNatsu Matsuo,66.0,116.3
He talata,6.0,1961,R,Comedy,Abbas Kamel,Rushdi AbazahTawfik El DekenNagwa Fouad,66.0,116.3
Matilda: The Musical,7.0,2022,PG,Comedy,Matthew Warchus,Alisha Weir,72.0,117.0
Ip Man 3,7.0,2015,PG-13,Action,Wilson Yip,Donnie YenLynn XiongJin Zhang,57.0,105.0
Spare Parts,7.2,2015,PG-13,Biography,Sean McNamara,George LopezJamie Lee CurtisCarlos PenaVega,50.0,114.0
Breathless,6.0,1983,R,Action,Jim McBride,L.M. Kit CarsonJim McBrideJean-Luc Godard,52.0,100.0
The Dove,6.3,1974,PG,Adventure,Charles Jarrott,Robin Lee GrahamDerek GillPeter S. Beagle,66.0,105.0
Sunshine,7.5,1999,R,Drama,István Szabó,István SzabóIsrael Horovitz,71.0,181.0
Amadeus,8.4,1984,PG,Biography,Milos Forman,Peter ShafferZdenek Mahler,87.0,160.0
The Crucible,6.8,1996,PG-13,Drama,Nicholas Hytner,Arthur Miller,75.0,124.0
Snow Dogs,5.2,2002,PG,Adventure,Brian Levant,Cuba Gooding Jr.,29.0,99.0
Passchendaele,6.4,2008,R,Drama,Paul Gross,Paul GrossMichael GreyeyesJames Kot,66.0,114.0
LICK,8.1,2019,R,Animation,Will Evans,Brady HendricksAlexander HanlyPaige Martin,66.0,116.3
Hit Man,7.4,2023,R,Action,Richard Linklater,Adria ArjonaGlen PowellRetta,83.0,115.0
Idõugrók 4: A végzet lángjai,7.6,2014,R,Sci-Fi,Esses Tamás,Esses TamásVéber ZoltánTokodi Sandor,66.0,116.3
The Thundermans Return,4.9,2024,Other,Action,Trevor Kirschner,Kira Kosarin,57.1,70.0
A Tale of Love and Darkness,6.0,2015,PG-13,Biography,Natalie Portman,Natalie PortmanGilad KahanaAmir Tessler,55.0,95.0
Bugsy Malone,6.8,1976,G,Comedy,Alan Parker,Jodie Foster,71.0,93.0
Zoom,4.4,2006,PG,Action,Peter Hewitt,Tim Allen,26.0,83.0
Bad Boys: Ride or Die,6.9,2024,R,Action,Adil El Arbi,Will SmithMartin LawrenceVanessa Hudgens,66.0,116.3
Missy,7.4,2001,Not Rated,Drama,Elias Pate,Daniel RadcliffeEmma WatsonRupert Grint,66.0,71.0
A Haunting in Venice,6.5,2023,PG-13,Crime,Kenneth Branagh,Kenneth BranaghMichelle YeohJamie Dornan,63.0,103.0
Jingle All the Way,5.7,1996,PG,Adventure,Brian Levant,Arnold Schwarzenegger,34.0,89.0
Atlas,5.6,2024,PG-13,Action,Brad Peyton,Jennifer LopezSimu LiuSterling K. Brown,37.0,118.0
Golden Kamuy,6.3,2024,R,Action,Shigeaki Kubo,Kento YamazakiAnna YamadaYûma Yamoto,66.0,116.3
Catch a Fire,6.7,2006,PG-13,Biography,Phillip Noyce,Derek LukeTim RobbinsBonnie Mbuli,62.0,101.0
The Lost City of Z,6.6,2016,PG-13,Adventure,James Gray,Charlie HunnamRobert PattinsonSienna Miller,78.0,141.0
The Tragedy of Mister Geppetto,7.3,2008,R,Drama,John Gonzales,Eleanor BrownAmy DobzynskiKeith Flanagan,66.0,116.3
Inseguito,8.5,2002,R,Sci-Fi,Luca Guardabascio,Irene AielloAndoni Aresti LandaNanni Candelari,66.0,116.3
Suspiria,6.7,2018,R,Drama,Luca Guadagnino,Chloë Grace MoretzTilda SwintonDoris Hick,64.0,152.0
Il tempo dell'inizio,7.1,1974,R,Drama,Luigi Di Gianni,Sven LastaRada RassimovJean Martin,66.0,116.3
Who Framed Roger Rabbit,7.7,1988,PG,Animation,Robert Zemeckis,Jeffrey PricePeter S. SeamanGary K. Wolf,83.0,104.0
Selene Hollow,6.7,2015,R,Drama,Mathew Provost,David DavinoLaurence FitzgeraldAlexander Platt,66.0,116.3
Czarne slonca,6.1,1992,R,Crime,Jerzy Zalewski,Ewa DalkowskaTomasz DedekJan Frycz,66.0,116.3
The Three Stooges,5.1,2012,PG,Comedy,Bobby Farrelly,Sean Hayes,56.0,92.0
Friend,7.0,2009,Not Rated,Drama,Satabdi Roy,Tapas PalSatabdi RoySoumitra Chatterjee,66.0,155.0
Catch Me If You Can,8.1,2002,PG-13,Biography,Steven Spielberg,Leonardo DiCaprioTom HanksChristopher Walken,75.0,141.0
Chappaquiddick,6.4,2017,PG-13,Biography,John Curran,Jason ClarkeKate MaraEd Helms,67.0,106.0
Dolemite Is My Name,7.2,2019,R,Biography,Craig Brewer,Eddie MurphyKeegan-Michael KeyMike Epps,76.0,118.0
The V: Sacrifice of the Constellations,7.1,2011,Not Rated,Adventure,Vighnesh Maharaj Peters,Steven BakkerVighnesh Maharaj PetersDebbie Dekkers,66.0,144.0
Raiders of the River,8.0,1956,R,Crime,John Haggarty,Richard O'SullivanJenny JonesRobert Peters,66.0,116.3
Süper Adam,5.1,1971,R,Adventure,Cavit Yürüklü,Levent ÇakirFatma KaranfilSevda Nur,66.0,116.3
Radioactive,6.3,2019,PG-13,Biography,Marjane Satrapi,Rosamund PikeYvette FeuerMirjam Novak,56.0,109.0
Future War 198X,6.2,1982,R,Animation,Tomoharu Katsumata,Kin'ya KitaôjiMasako NatsumeYoshio Kaneuchi,66.0,116.3
Darby O'Gill and the Little People,7.1,1959,G,Adventure,Robert Stevenson,Albert Sharpe,80.0,93.0
De apparatspott,7.0,1999,R,Sci-Fi,Martin Hermann,Thomas BaierUdo BurmeisterHansjuergen Hespos,66.0,116.3
Apparatspott - Dat mokt wie gistern,6.5,2008,R,Sci-Fi,Martin Hermann,Meelah AdamsThomas BaierSabine Bulthaup,66.0,116.3
The Nut Job,5.7,2014,PG,Animation,Peter Lepeniotis,Will Arnett,37.0,85.0
Mars Express,7.5,2023,Not Rated,Animation,Jérémie Périn,Léa DruckerMathieu AmalricDaniel Njo Lobé,76.0,88.0
A léleklátó sugár,5.3,1918,R,Sci-Fi,Alfréd Deésy,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
Dreamscape,6.3,2011,R,Sci-Fi,Curt Anderson,Sophie BolenSamantha BerendsEthan Knoth,66.0,116.3
Men of Honor,7.2,2000,R,Biography,George Tillman Jr.,Cuba Gooding Jr.Robert De NiroCharlize Theron,56.0,129.0
Prátelé Bermudského trojúhelníku,5.3,1987,R,Comedy,Václav Krístek,Frantisek CechJirí JustPetr Novotný,66.0,116.3
The Black Phone,6.9,2021,R,Horror,Scott Derrickson,Mason ThamesMadeleine McGrawEthan Hawke,65.0,103.0
Stockholm,6.1,2018,R,Biography,Robert Budreau,Robert BudreauDaniel LangJames Luscombe,54.0,92.0
Doppelgänger,6.6,2019,R,Sci-Fi,Stan Douglas,Dionne AudainEmma WestKrista Morin,66.0,116.3
Into the Wild,8.1,2007,R,Adventure,Sean Penn,Emile HirschVince VaughnCatherine Keener,73.0,148.0
Ford v Ferrari,8.1,2019,PG-13,Action,James Mangold,Matt DamonChristian BaleJon Bernthal,81.0,152.0
Amazing Grace,7.4,2006,PG,Biography,Michael Apted,Ioan GruffuddAlbert FinneyMichael Gambon,65.0,118.0
Major Payne,6.3,1995,PG-13,Adventure,Nick Castle,Damon Wayans,34.0,95.0
Jersey Boys,6.8,2014,R,Biography,Clint Eastwood,Marshall BrickmanRick Elice,54.0,134.0
Antwone Fisher,7.3,2002,PG-13,Biography,Denzel Washington,Denzel WashingtonDerek LukeJoy Bryant,62.0,120.0
Ironclad,6.1,2011,R,Action,Jonathan English,Paul GiamattiJason FlemyngBrian Cox,42.0,121.0
Wicked Little Letters,7.0,2023,R,Comedy,Thea Sharrock,Jessie BuckleyOlivia ColmanTimothy Spall,58.0,100.0
Grizzly Man,7.8,2005,R,Documentary,Werner Herzog,Timothy TreadwellAmie HuguenardWerner Herzog,87.0,103.0
Odd Thomas,6.8,2013,PG-13,Comedy,Stephen Sommers,Anton YelchinAshley SommersLeonor Varela,45.0,97.0
Dune,8.0,2021,PG-13,Action,Denis Villeneuve,Jon SpaihtsDenis VilleneuveEric Roth,74.0,155.0
Yossi & Jagger,7.1,2002,R,Drama,Eytan Fox,Ohad KnollerYehuda LeviAssi Cohen,70.0,65.0
Shirley,6.2,2024,PG-13,Biography,John Ridley,Regina KingLance ReddickTerrence Howard,57.0,117.0
Secret Dossier of the Mafia,6.8,1970,R,Drama,Giuseppe Ferrara,Giuseppe Di BellaAccursio Di LeoFranca Sciutto,66.0,105.0
Back to Black,6.5,2024,R,Biography,Sam Taylor-Johnson,Marisa AbelaEddie MarsanJack O'Connell,44.0,122.0
1898: Our Last Men in the Philippines,6.5,2016,R,Drama,Salvador Calvo,Luis TosarJavier GutiérrezÁlvaro Cervantes,66.0,105.0
The Survivor,6.7,2021,R,Biography,Barry Levinson,Ben FosterBilly MagnussenVicky Krieps,71.0,129.0
Impromptu,6.8,1991,PG-13,Biography,James Lapine,Judy DavisHugh GrantMandy Patinkin,66.0,107.0
The Suicide Squad,7.2,2021,R,Action,James Gunn,Margot RobbieIdris ElbaJohn Cena,72.0,132.0
Eutamnesia,6.0,2000,R,Sci-Fi,Patrick Rizzi,Emanuele De MatteisAntonio MatarazzoPaola Mura,66.0,116.3
Ted K,6.0,2021,R,Biography,Tony Stone,Sharlto CopleyDrew PowellChristian Calloway,70.0,120.0
The Frozen Ground,6.4,2013,R,Biography,Scott Walker,Nicolas CageVanessa HudgensJohn Cusack,37.0,105.0
Moonlight by the Sea,6.5,2003,R,Sci-Fi,Justin Hennard,Sean AllenMylinda RoyerKingsly Martin,66.0,116.3
Rise of the Guardians,7.2,2012,PG,Animation,Peter Ramsey,Hugh Jackman,58.0,97.0
Rogue Agent,6.4,2022,R,Action,Declan Lawn,Michael BronnerAdam PattersonDeclan Lawn,61.0,116.3
Aladdin,6.9,2019,PG,Adventure,Guy Ritchie,Will SmithMena MassoudNaomi Scott,53.0,128.0
Father of the Bride,6.6,1991,PG,Comedy,Charles Shyer,Steve Martin,51.0,105.0
Reversal of Fortune,7.2,1990,R,Biography,Barbet Schroeder,Jeremy IronsGlenn CloseRon Silver,93.0,111.0
Under Paris,6.9,2024,R,Action,Xavier Gens,Sebastien AuscherYannick DahanXavier Gens,66.0,116.3
The Karate Kid,6.2,2010,PG,Action,Harald Zwart,Jackie Chan,61.0,140.0
The Lord of the Rings: The Return of the King,9.0,2003,PG-13,Action,Peter Jackson,J.R.R. TolkienFran WalshPhilippa Boyens,94.0,201.0
Jimmy Tornado,6.8,2004,R,Sci-Fi,Gerry Schuster,Oleg BorissovLeonora EckerMona Filice,66.0,116.3
Shooting Stars,6.5,2023,PG-13,Biography,Chris Robinson,Frank E. FlowersTony RettenmaierJuel Taylor,62.0,116.0
The Basketball Diaries,7.3,1995,R,Biography,Scott Kalvert,Leonardo DiCaprioLorraine BraccoMarilyn Sokol,46.0,102.0
"Jabondang seoneon: Mangukui nodongjayeo, chukcheothara!",6.0,2003,R,Drama,Gok Kim,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
The Case for Christ,6.3,2017,PG,Biography,Jon Gunn,Mike VogelErika ChristensenFaye Dunaway,50.0,112.0
Command and Control,7.3,2016,PG,Documentary,Robert Kenner,Robert KennerBrian PearleKim Roberts,77.0,92.0
Hollywoodland,6.5,2006,R,Biography,Allen Coulter,Adrien BrodyBen AffleckDiane Lane,62.0,126.0
Infest Wisely,6.4,2007,R,Sci-Fi,Rose Bianchini,Rose BianchiniKirby FergusonCraig Macnaughton,66.0,116.3
Kingdom of Heaven,7.3,2005,R,Action,Ridley Scott,Orlando BloomEva GreenLiam Neeson,63.0,144.0
Cobb,6.4,1994,R,Biography,Ron Shelton,Al StumpRon Shelton,66.0,128.0
A Summer Tale,7.3,2000,PG,Comedy,Ulf Malmros,Kjell Bergqvist,57.1,100.0
Henry & June,6.3,1990,NC-17,Biography,Philip Kaufman,Fred WardUma ThurmanMaria de Medeiros,62.0,136.0
The Cookbook,5.6,2018,R,Mystery,Siavash Afshar,Ali AbdaliAli AnvariEbrahim Azizi,66.0,116.3
Alvin and the Chipmunks: Chipwrecked,4.4,2011,G,Adventure,Mike Mitchell,Justin Long,24.0,87.0
RocketMan,5.9,1997,PG,Comedy,Stuart Gillard,Harland Williams,57.1,95.0
Tom Horn,6.8,1980,R,Biography,William Wiard,Steve McQueenLinda EvansRichard Farnsworth,66.0,98.0
Miss Peregrine's Home for Peculiar Children,6.7,2016,PG-13,Adventure,Tim Burton,Eva Green,57.0,127.0
Chevalier,6.5,2022,PG-13,Biography,Stephen Williams,Kelvin Harrison Jr.Samara WeavingLucy Boynton,67.0,108.0
Amistad,7.3,1997,R,Biography,Steven Spielberg,Djimon HounsouMatthew McConaugheyAnthony Hopkins,64.0,155.0
The Age of the Earth,6.5,1980,R,Drama,Glauber Rocha,Castro AlvesGlauber Rocha,66.0,116.3
Baykalskiy intsident. Skrytaya ugroza,6.8,2014,R,Horror,Sergey A.,Sergey A.Dmitry ChmelyovArtur Kolosov,66.0,116.3
Resurrection,6.0,2021,PG-13,Biography,Ciaran Donnelly,Joanne WhalleyVincent ReganGreta Scacchi,66.0,96.0
The Red Turtle,7.5,2016,PG,Animation,Michael Dudok de Wit,Emmanuel Garijo,86.0,80.0
The Incredible Mr. Limpet,6.5,1964,G,Animation,Arthur Lubin,Don Knotts,57.1,99.0
Gods and Generals,6.2,2003,PG-13,Biography,Ron Maxwell,Stephen LangRobert DuvallJeff Daniels,30.0,219.0
13 Minutes,7.0,2015,R,Biography,Oliver Hirschbiegel,Christian FriedelKatharina SchüttlerBurghart Klaußner,58.0,114.0
Happy Feet Two,5.8,2011,PG,Animation,George Miller,Elijah Wood,50.0,100.0
Aline,6.3,2020,PG-13,Biography,Valérie Lemercier,Valérie LemercierSylvain MarcelDanielle Fichaud,53.0,126.0
Little Ashes,6.4,2008,R,Biography,Paul Morrison,Robert PattinsonJavier BeltránMatthew McNulty,41.0,112.0
"The Good, the Bad and the Ugly",8.8,1966,R,Adventure,Sergio Leone,Luciano VincenzoniSergio LeoneAgenore Incrocci,90.0,178.0
The Indian in the Cupboard,6.0,1995,PG,Drama,Frank Oz,Hal Scardino,58.0,96.0
The Lost City,6.1,2022,PG-13,Action,Aaron Nee,Oren UzielDana FoxAdam Nee,60.0,112.0
Loving Carmen,9.3,2016,G,Documentary,Nayo Titzin,Nayo Titzin,66.0,66.0
The Protokon,7.4,2015,R,Drama,Anthony de Lioncourt,Anthony de Lioncourt,66.0,116.3
Mandy,6.5,2018,Not Rated,Action,Panos Cosmatos,Panos CosmatosAaron Stewart-AhnCasper Kelly,83.0,121.0
Emily,6.8,2022,R,Biography,Frances O'Connor,Emma MackeyOliver Jackson-CohenFionn Whitehead,75.0,130.0
The Spy Next Door,5.4,2010,PG,Action,Brian Levant,Jackie Chan,27.0,94.0
The Runaways,6.5,2010,R,Biography,Floria Sigismondi,Kristen StewartDakota FanningMichael Shannon,65.0,106.0
The Bad News Bears in Breaking Training,5.6,1977,PG,Comedy,Michael Pressman,William Devane,47.0,100.0
It Takes Two,5.9,1995,PG,Comedy,Andy Tennant,Kirstie Alley,45.0,101.0
Kinnikuman: Ôabare! Seigi chôjin,5.9,1984,R,Animation,Takeshi Shirato,Akira KamiyaMinori MatsushimaHideyuki Tanaka,66.0,116.3
Red Shoes and the Seven Dwarfs,6.4,2019,PG,Animation,Hong Sung-ho,Chloë Grace Moretz,57.1,92.0
Hope Floats,6.0,1998,PG-13,Drama,Forest Whitaker,Sandra BullockHarry Connick Jr.Gena Rowlands,43.0,114.0
Per Aspera,8.8,2020,R,Adventure,Andrea Traina,Marika SeniaSalvo PaternòGiuseppina Vivera,66.0,116.3
Everything Everywhere All at Once,7.8,2022,R,Action,Daniel Kwan,Michelle YeohStephanie HsuJamie Lee Curtis,81.0,139.0
Lonesome Soldier,6.2,2023,R,Biography,Nino Aldi,Alexander RandazzoLionel ChetwyndLinda Lee,66.0,109.0
Loving,7.0,2016,PG-13,Biography,Jeff Nichols,Ruth NeggaJoel EdgertonWill Dalton,79.0,123.0
Al centro de la Tierra,7.6,2015,R,Drama,Daniel Rosenfeld,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
The Hunger Games,7.2,2012,PG-13,Action,Gary Ross,Gary RossSuzanne CollinsBilly Ray,68.0,142.0
Lovelace,6.2,2013,R,Biography,Rob Epstein,Amanda SeyfriedPeter SarsgaardSharon Stone,51.0,93.0
